title,release_date,critic_score,audience_score,release_year,movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
Games,1967,0.57,0.48,1967,tt0061696,Games,1967,Not Rated,100 min,Thriller,6.4,"A young couple who are into kinky ""mind games"" get more than they bargained for when a mysterious woman comes into their lives.",Curtis Harrington,/name/nm0364252/,"Simone Signoret, 
James Caan, 
Katharine Ross, 
Don Stroud","/name/nm0797531/,/name/nm0001001/,/name/nm0001684/,/name/nm0835144/",1424.0,
Joe,"Released Jul 15, 1970",0.75,0.64,1970,tt0065916,Joe,1970,R,107 min,"Drama, Thriller",6.8,"Two men, Bill, a wealthy conservative, and Joe, a far-right factory worker, form a dangerous bond after Bill confesses to Joe about murdering his daughter's drug dealer boyfriend.",John G. Avildsen,/name/nm0000814/,"Peter Boyle, 
Dennis Patrick, 
Susan Sarandon, 
Patrick McDermott","/name/nm0001967/,/name/nm0665838/,/name/nm0000215/,/name/nm0567564/",3621.0,19319254.0
Cromwell,"Released Oct 26, 1970",0.43,0.69,1970,tt0065593,Cromwell,1970,G,139 min,"Biography, Drama, History",6.9,"Oliver Cromwell can no longer tolerate King Charles' policies, and the self-interest of the ruling class, and leads a civil war to install Parliament as the ultimate ruler of England.",Ken Hughes,/name/nm0400731/,"Richard Harris, 
Alec Guinness, 
Robert Morley, 
Dorothy Tutin","/name/nm0001321/,/name/nm0000027/,/name/nm0605923/,/name/nm0878302/",6428.0,1371339.0
Something for Everyone,1970,0.83,0.7,1970,tt0066392,Something for Everyone,1970,R,112 min,"Comedy, Crime, Drama",7.1,"In post-war Austria, young, handsome country lad Konrad Ludwig (Michael York) charms his way into a butler position at the castle of the widowed (and destitute) Countess von Ornstein (...                See full summary »",Harold Prince,/name/nm0697660/,"Angela Lansbury, 
Michael York, 
Anthony Higgins, 
Heidelinde Weis","/name/nm0001450/,/name/nm0001868/,/name/nm0001891/,/name/nm0918663/",985.0,297492.0
Chisum,1970,0.83,0.74,1970,tt0065547,Chisum,1970,G,111 min,"Biography, Western",6.8,Cattle baron John Chisum joins forces with Billy the Kid and Pat Garrett to fight the Lincoln County land war.,Andrew V. McLaglen,/name/nm0572132/,"John Wayne, 
Forrest Tucker, 
Christopher George, 
Ben Johnson","/name/nm0000078/,/name/nm0875861/,/name/nm0313387/,/name/nm0424565/",10327.0,13080000.0
Performance,"Released Aug 3, 1970",0.82,0.78,1970,tt0066214,Performance,1970,R,105 min,"Crime, Drama",6.7,A violent gangster seeks refuge from the mob in the Bohemian home of a former rock star.,"Donald Cammell, 
Nicolas Roeg",/name/nm0131910/,"James Fox, 
Mick Jagger, 
Anita Pallenberg, 
Michèle Breton","/name/nm0001676/,/name/nm0289038/,/name/nm0001396/,/name/nm0657848/,/name/nm0107894/",10814.0,189205.0
House of Dark Shadows,"Released Oct 28, 1970",0.43,0.7,1970,tt0065856,House of Dark Shadows,1970,GP,97 min,"Drama, Fantasy, Horror",6.3,"Vampire Barnabas Collins is accidentally released from his centuries-long confinement at his family's estate in Maine. He targets his clueless descendants who live there now and pursues Maggie, the incarnation of his lost love.",Dan Curtis,/name/nm0193303/,"Jonathan Frid, 
Grayson Hall, 
Kathryn Leigh Scott, 
Roger Davis","/name/nm0294847/,/name/nm0355621/,/name/nm0779421/,/name/nm0205380/",3208.0,4002480.0
The Breach,2022,0.82,0.26,2022,tt14229154,The Breach,2022,,92 min,Horror,5.5,"Counting down his last days as Chief of Police in the tiny town of Lone Crow, John Hawkins must investigate one last case when a mangled body with uncanny wounds washes up on the shores of the Porcupine River.",Rodrigo Gudiño,/name/nm1473037/,"Emily Alatalo, 
Mary Antonini, 
Natalie Brown, 
David R Carter","/name/nm3577098/,/name/nm0031360/,/name/nm0535019/,/name/nm9563358/",67.0,
Breach,"Released Feb 16, 2007",0.84,0.67,2007,tt0401997,Breach,2007,PG-13,110 min,"Biography, Crime, Drama",7.0,"FBI upstart Eric O'Neill enters into a power game with his boss, Robert Hanssen, an agent who was put on trial for selling secrets to the Soviet Union.",Billy Ray,/name/nm0712753/,"Chris Cooper, 
Ryan Phillippe, 
Dennis Haysbert, 
Laura Linney","/name/nm0177933/,/name/nm0000202/,/name/nm0371660/,/name/nm0001473/",60361.5,33231264.0
The Deep End,"Released Aug 1, 2001",0.82,0.59,2001,tt0250323,The Deep End,2001,R,101 min,"Crime, Drama, Mystery",6.5,A woman spirals out of control while trying to keep her son from being found culpable in a murder investigation.,"Scott McGehee, 
David Siegel",/name/nm0569166/,"Tilda Swinton, 
Goran Visnjic, 
Jonathan Tucker, 
Peter Donat","/name/nm0796915/,/name/nm0842770/,/name/nm0899681/,/name/nm0006958/,/name/nm0232194/",11769.0,8821782.0
The Vampire Lovers,"Released Oct 22, 1970",0.76,0.6,1970,tt0066518,The Vampire Lovers,1970,R,91 min,Horror,6.4,Seductive vampire Carmilla Karnstein and her family target the beautiful and the rich in a remote area of late eighteenth-century Gemany.,Roy Ward Baker,/name/nm0001928/,"Ingrid Pitt, 
Pippa Steel, 
Madeline Smith, 
Peter Cushing","/name/nm0685839/,/name/nm0824448/,/name/nm0809184/,/name/nm0001088/",6613.0,
The Great White Hope,"Released Oct 16, 1970",0.43,0.67,1970,tt0065797,The Great White Hope,1970,PG-13,103 min,"Drama, Romance, Sport",6.9,A black champion boxer and his white female companion struggle to survive while the white boxing establishment looks for ways to knock him down.,Martin Ritt,/name/nm0728688/,"James Earl Jones, 
Jane Alexander, 
Lou Gilbert, 
Joel Fluellen","/name/nm0000469/,/name/nm0000737/,/name/nm0318153/,/name/nm0283314/",2648.5,2695525.0
No Blade of Grass,1970,0.29,0.42,1970,tt0066154,No Blade of Grass,1970,R,96 min,"Drama, Sci-Fi",5.8,"An environmental catastrophe destroys civilization. Led by father John and mother Ann, the Custance clan sets out on a quest for safety in a savage world that may just end up turning them into the very thing they are fleeing.",Cornel Wilde,/name/nm0664273/,"Nigel Davenport, 
Jean Wallace, 
John Hamill, 
Lynne Frederick","/name/nm0202638/,/name/nm0908695/,/name/nm0357678/,/name/nm0292802/",1892.0,347639.0
Trog,1970,0.13,0.23,1970,tt0066492,Trog,1970,GP,93 min,"Horror, Sci-Fi",3.9,A sympathetic anthropologist uses drugs and surgery to try to communicate with a primitive troglodyte who is found living in a local cave.,Freddie Francis,/name/nm0005711/,"Joan Crawford, 
Michael Gough, 
Bernard Kay, 
Kim Braden","/name/nm0001076/,/name/nm0001284/,/name/nm0443001/,/name/nm0102963/",2998.0,
The Private Life of Sherlock Holmes,"Released Dec 3, 1970",0.89,0.73,1970,tt0066249,The Private Life of Sherlock Holmes,1970,PG-13,125 min,"Adventure, Comedy, Crime",7.0,"When a bored Holmes eagerly takes the case of Gabrielle Valladon after an attempt on her life, the search for her missing husband leads to Loch Ness and the legendary monster.",Billy Wilder,/name/nm0000697/,"Robert Stephens, 
Christopher Lee, 
Colin Blakely, 
Geneviève Page","/name/nm0827137/,/name/nm0000489/,/name/nm0086780/,/name/nm0656180/",12551.5,3300000.0
The Owl and the Pussycat,"Released Nov 3, 1970",0.82,0.64,1970,tt0066195,The Owl and the Pussycat,1970,R,95 min,"Comedy, Romance",6.4,"A stuffy author enters into an explosive relationship with his neighbor, a foul-mouthed, freewheeling prostitute.",Herbert Ross,/name/nm0006889/,"Barbra Streisand, 
George Segal, 
Robert Klein, 
Allen Garfield","/name/nm0000659/,/name/nm0001719/,/name/nm0458951/,/name/nm0307255/",4075.0,23681338.0
The Phantom Tollbooth,"Released Nov 7, 1970",1.0,0.76,1970,tt0064806,The Phantom Tollbooth,1970,G,90 min,"Animation, Adventure, Comedy",6.7,"Milo is a boy who is bored with life. One day he comes home to find a toll booth in his room. Having nothing better to do, he gets in his toy car and drives through - only to emerge in a world full of adventure.","Chuck Jones, 
Abe Levitow, 
Dave Monahan",/name/nm0005062/,"Butch Patrick, 
Hans Conried, 
Mel Blanc, 
Daws Butler","/name/nm0506187/,/name/nm0597520/,/name/nm0665822/,/name/nm0175788/,/name/nm0000305/,/name/nm0124889/",3306.0,
